DATE,A4203C0A173NBEA
1929-01-01,34088
1930-01-01,31811
1931-01-01,28590
1932-01-01,25071
1933-01-01,25038
1934-01-01,27417
1935-01-01,28426
1936-01-01,30548
1937-01-01,32508
1938-01-01,30124
1939-01-01,31612
1940-01-01,33518
1941-01-01,37210
1942-01-01,39728
1943-01-01,40723
1944-01-01,39749
1945-01-01,38183
1946-01-01,40379
1947-01-01,42458
1948-01-01,43431
1949-01-01,41857
1950-01-01,43626
1951-01-01,46112
1952-01-01,46668
1953-01-01,47873
1954-01-01,46400
1955-01-01,48036
1956-01-01,49573
1957-01-01,49732
1958-01-01,48211
1959-01-01,49781
1960-01-01,50548
1961-01-01,50374
1962-01-01,51672
1963-01-01,52444
1964-01-01,53655
1965-01-01,55598
1966-01-01,58209
1967-01-01,59288
1968-01-01,60948
1969-01-01,62877
1970-01-01,62702
1971-01-01,62529
1972-01-01,64568
1973-01-01,67939
1974-01-01,68947
1975-01-01,67069
1976-01-01,69430
1977-01-01,72275
1978-01-01,76313
1979-01-01,79137
1980-01-01,79121
1981-01-01,80139
1982-01-01,78220
1983-01-01,78939
1984-01-01,83103
1985-01-01,85264
1986-01-01,86770
1987-01-01,89270
1988-01-01,92033
1989-01-01,94300
1990-01-01,95233
1991-01-01,93763
1992-01-01,94151
1993-01-01,96106
1994-01-01,98853
1995-01-01,101636
1996-01-01,103832
1997-01-01,106698
1998-01-01,109709
1999-01-01,112253
2000-01-01,114597
2001-01-01,114095
2002-01-01,112679
2003-01-01,112290
2004-01-01,113761
2005-01-01,115633
2006-01-01,117941
2007-01-01,119259
2008-01-01,118414
2009-01-01,112139
2010-01-01,110848
2011-01-01,112815
2012-01-01,115588
2013-01-01,117962
2014-01-01,120786
2015-01-01,123593
2016-01-01,125682
